X Grid Position, Y  Grid Position, VecX, VecY, VecZ,,,,,,,,,,,,,
11,5,5.740636,-1.180655,2.495902,,,,5.740636,2.495902,-1.180655,,,,,,,
11,6,5.9068,-1.334097,3.002723,,,,5.9068,3.002723,-1.334097,,,,,,,
11,7,5.966794,-1.374535,3.5,,,,5.966794,3.5,-1.374535,,,,,,,
11,8,5.9068,-1.334097,3.997277,,,,5.9068,3.997277,-1.334097,,,,,,,
11,9,5.740636,-1.180654,4.504098,,,,5.740636,4.504098,-1.180654,,,,,,,
11,10,5.684172,-1.170355,5.014256,,,,5.684172,5.014256,-1.170355,,,,,,,
11,11,5.796062,-1.265949,5.507794,,,,5.796062,5.507794,-1.265949,,,,,,,
11,12,5.799745,-1.225365,6.012341,,,,5.799745,6.012341,-1.225365,,,,,,,
11,13,5.685076,-1.042667,6.511481,,,,5.685076,6.511481,-1.042667,,,,,,,
11,14,5.734073,-1.062745,7.015483,,,,5.734073,7.015483,-1.062745,,,,,,,
12,0,6.394174,-0.8949613,-0.009673376,,,,6.394174,-0.009673376,-0.8949613,,,,,,,
12,1,6.345768,-0.9199055,0.4915492,,,,6.345768,0.4915492,-0.9199055,,,,,,,
12,2,6.641937,-0.9625474,0.9962823,,,,6.641937,0.9962823,-0.9625474,,,,,,,
12,3,6.631129,-1.003106,1.499485,,,,6.631129,1.499485,-1.003106,,,,,,,
12,4,6.338246,-1.024104,1.991048,,,,6.338246,1.991048,-1.024104,,,,,,,
12,5,6.397345,-0.9859326,2.497293,,,,6.397345,2.497293,-0.9859326,,,,,,,
12,6,6.742963,-0.9376781,3.00056,,,,6.742963,3.00056,-0.9376781,,,,,,,
12,7,6.810615,-0.8968636,3.5,,,,6.810615,3.5,-0.8968636,,,,,,,
12,8,6.742963,-0.9376775,3.99944,,,,6.742963,3.99944,-0.9376775,,,,,,,
12,9,6.397345,-0.9859322,4.502697,,,,6.397345,4.502697,-0.9859322,,,,,,,
12,10,6.338246,-1.024104,5.008954,,,,6.338246,5.008954,-1.024104,,,,,,,
12,11,6.631129,-1.003106,5.500516,,,,6.631129,5.500516,-1.003106,,,,,,,
12,12,6.641938,-0.9625475,6.00371,,,,6.641938,6.00371,-0.9625475,,,,,,,
12,13,6.345764,-0.9199048,6.508456,,,,6.345764,6.508456,-0.9199048,,,,,,,
12,14,6.394174,-0.8949618,7.00967,,,,6.394174,7.00967,-0.8949618,,,,,,,
13,0,6.517172,-0.388199,0.003076915,,,,6.517172,0.003076915,-0.388199,,,,,,,
13,1,6.517094,-0.4216653,0.5033671,,,,6.517094,0.5033671,-0.4216653,,,,,,,
13,2,6.516769,-0.4559696,1.003685,,,,6.516769,1.003685,-0.4559696,,,,,,,
13,3,6.51619,-0.4900985,1.504028,,,,6.51619,1.504028,-0.4900985,,,,,,,
13,4,6.515385,-0.5227723,2.004393,,,,6.515385,2.004393,-0.5227723,,,,,,,
13,5,6.515864,-0.4728327,2.498554,,,,6.515864,2.498554,-0.4728327,,,,,,,
13,6,6.516028,-0.4761369,2.999257,,,,6.516028,2.999257,-0.4761369,,,,,,,
13,7,6.516086,-0.477191,3.5,,,,6.516086,3.5,-0.477191,,,,,,,
13,8,6.516028,-0.4761369,4.000743,,,,6.516028,4.000743,-0.4761369,,,,,,,
